Sulfur dioxide,Carbon monoxide,Ozone,PM10,Nitrogen oxides,Nitric Oxide,Nitrogen dioxide,Total Hydrocarbon,Non-hydrocarbon,Wind Speed,Wind Direction,Ambient temperature,Rainfall,Methane,PM2.5,Relative humidity,Hourly Wind speed Vectors,Hourly Wind Direction Vectors
0.8,0.2,43.5,15.0,5.3,0.6,4.7,1.93,0.01,5.8,35.0,25.4,0.0,1.92,2.0,83.0,5.3,32.0
0.8,0.2,43.1,7.0,4.7,0.6,4.1,1.93,0.01,5.6,35.0,24.9,0.5,1.92,0.0,84.0,4.4,34.0
1.0,0.19,43.5,11.0,6.0,0.6,5.4,1.93,0.01,5.0,41.0,24.2,0.0,1.92,2.0,86.0,4.2,40.0
0.8,0.18,45.4,13.0,5.8,0.7,5.1,1.92,0.0,4.8,31.0,23.9,1.0,1.92,3.0,86.0,4.5,29.0
0.9,0.18,46.2,9.0,5.2,0.7,4.4,1.91,0.0,5.8,26.0,23.9,0.0,1.92,2.0,86.0,4.7,31.0
1.0,0.17,46.7,5.0,4.9,0.6,4.2,1.91,0.0,5.1,45.0,24.0,0.0,1.91,2.0,85.0,5.2,30.0
1.2,0.17,47.4,7.0,3.6,0.5,3.1,1.92,0.0,4.5,43.0,24.2,0.0,1.92,2.0,84.0,4.3,35.0
0.6,0.16,46.7,12.0,4.3,0.6,3.7,1.91,0.0,5.6,33.0,24.2,0.0,1.92,3.0,84.0,4.3,36.0
0.9,0.16,45.4,7.0,4.1,0.5,3.6,1.91,0.0,4.5,37.0,24.1,0.0,1.93,0.0,86.0,4.0,35.0
1.0,0.16,44.9,9.0,3.6,0.4,3.2,1.91,0.0,5.3,26.0,24.5,0.0,1.92,0.0,85.0,4.0,33.0
0.8,0.15,45.6,11.0,2.9,0.3,2.5,1.91,0.0,5.2,49.0,24.6,0.0,1.92,4.0,85.0,4.3,43.0
0.7,0.16,46.4,11.0,3.1,0.4,2.6,1.91,0.0,5.6,33.0,24.5,0.0,1.92,4.0,85.0,4.2,40.0
0.7,0.16,46.5,10.0,3.3,0.6,2.6,1.91,0.0,4.1,37.0,24.5,0.0,1.92,2.0,85.0,4.1,35.0
0.6,0.16,46.1,14.0,3.9,0.5,3.3,1.9,0.0,5.8,31.0,24.6,0.0,1.91,5.0,85.0,4.5,32.0
0.7,0.16,46.9,15.0,4.1,0.5,3.5,1.9,0.0,5.9,30.0,24.8,0.0,1.91,3.0,85.0,5.6,29.0
0.7,0.18,45.0,12.0,5.3,0.7,4.6,1.91,0.0,4.6,28.0,25.2,0.0,1.92,3.0,84.0,4.3,30.0
0.9,0.18,44.5,10.0,6.0,1.0,5.0,1.93,0.01,5.2,28.0,25.7,0.0,1.92,2.0,83.0,4.3,32.0
0.9,0.19,45.9,10.0,4.9,0.8,4.1,1.93,0.01,6.3,29.0,25.9,0.0,1.92,0.0,83.0,5.3,30.0
0.8,0.19,44.8,15.0,3.7,0.5,3.2,1.93,0.0,5.6,32.0,26.0,0.0,1.93,4.0,83.0,4.8,33.0
0.9,0.18,43.7,11.0,4.0,0.7,3.3,1.93,0.0,6.1,32.0,26.4,0.0,1.93,5.0,83.0,4.7,34.0
1.1,0.18,43.2,6.0,4.9,0.7,4.2,1.92,0.0,6.2,32.0,26.3,0.0,1.92,0.0,83.0,5.1,30.0
0.8,0.17,42.7,8.0,5.2,0.8,4.3,1.92,0.01,7.0,30.0,25.8,0.0,1.91,0.0,83.0,5.7,31.0
0.9,0.17,42.4,8.0,5.0,0.6,4.3,1.92,0.01,6.5,35.0,25.3,0.0,1.91,3.0,83.0,6.0,29.0
0.9,0.18,41.3,11.0,5.2,0.5,4.6,1.93,0.01,5.3,33.0,24.8,0.0,1.92,3.0,83.0,4.7,34.0
0.7,0.17,41.9,8.0,4.6,0.5,4.0,1.93,0.0,5.2,36.0,24.5,0.0,1.93,4.0,83.0,4.4,34.0
0.8,0.17,42.5,13.0,5.3,0.5,4.8,1.92,0.0,5.8,34.0,24.2,0.0,1.92,2.0,83.0,4.9,33.0
0.9,0.16,43.8,12.0,5.4,0.3,5.1,1.91,0.0,5.4,32.0,24.1,0.0,1.92,0.0,83.0,4.7,32.0
0.8,0.16,44.6,11.0,4.5,0.5,3.9,1.92,0.0,5.7,38.0,23.9,0.0,1.92,0.0,84.0,4.3,37.0
0.8,0.16,44.8,11.0,4.7,0.5,4.1,1.92,0.0,4.7,37.0,23.8,0.0,1.92,0.0,84.0,4.4,33.0
